2024-04-28 20:51:38,685 [INFO ] 58 | Entry Type: Short | Entry Price: 66818.68 | Exit Price: 67000.0 | Entry Time: 2024-03-21 15:49:59.999000+02:00 | Exit Time: 2024-03-21 19:09:59.999000+02:00 | Profit/Loss (%): 0.5 | Volatility: 1.67
2024-04-28 20:51:38,686 [INFO ] 59 | Entry Type: Long | Entry Price: 66866.01 | Exit Price: 66200.0 | Entry Time: 2024-03-21 19:09:59.999000+02:00 | Exit Time: 2024-03-21 19:44:59.999000+02:00 | Profit/Loss (%): -0.75 | Volatility: 0.23
2024-04-28 20:51:38,687 [INFO ] 60 | Entry Type: Short | Entry Price: 66008.01 | Exit Price: 65560.0 | Entry Time: 2024-03-21 19:44:59.999000+02:00 | Exit Time: 2024-03-22 01:49:59.999000+02:00 | Profit/Loss (%): 1.16 | Volatility: 1.56
2024-04-28 20:51:38,688 [INFO ] 61 | Entry Type: Long | Entry Price: 65560.0 | Exit Price: 65576.13 | Entry Time: 2024-03-22 01:49:59.999000+02:00 | Exit Time: 2024-03-22 03:59:59.999000+02:00 | Profit/Loss (%): 0.16 | Volatility: 0.33
2024-04-28 20:51:38,689 [INFO ] 62 | Entry Type: Short | Entry Price: 65243.99 | Exit Price: 65999.99 | Entry Time: 2024-03-22 03:59:59.999000+02:00 | Exit Time: 2024-03-22 05:24:59.999000+02:00 | Profit/Loss (%): -0.52 | Volatility: 1.35
2024-04-28 20:51:38,689 [INFO ] 63 | Entry Type: Long | Entry Price: 65929.62 | Exit Price: 66240.0 | Entry Time: 2024-03-22 05:24:59.999000+02:00 | Exit Time: 2024-03-22 09:24:59.999000+02:00 | Profit/Loss (%): 0.53 | Volatility: 0.73
2024-04-28 20:51:38,690 [INFO ] 64 | Entry Type: Short | Entry Price: 66163.59 | Exit Price: 64096.35 | Entry Time: 2024-03-22 09:24:59.999000+02:00 | Exit Time: 2024-03-22 17:29:59.999000+02:00 | Profit/Loss (%): 4.06 | Volatility: 2.26
2024-04-28 20:51:38,691 [INFO ] 65 | Entry Type: Long | Entry Price: 64087.28 | Exit Price: 63770.01 | Entry Time: 2024-03-22 17:29:59.999000+02:00 | Exit Time: 2024-03-22 21:14:59.999000+02:00 | Profit/Loss (%): 0.36 | Volatility: 1.57
2024-04-28 20:51:38,692 [INFO ] 66 | Entry Type: Short | Entry Price: 63529.23 | Exit Price: 63884.66 | Entry Time: 2024-03-22 21:14:59.999000+02:00 | Exit Time: 2024-03-22 21:39:59.999000+02:00 | Profit/Loss (%): 0.05 | Volatility: 0.7
2024-04-28 20:51:38,693 [INFO ] 67 | Entry Type: Long | Entry Price: 63869.0 | Exit Price: 63517.15 | Entry Time: 2024-03-22 21:39:59.999000+02:00 | Exit Time: 2024-03-22 23:04:59.999000+02:00 | Profit/Loss (%): -0.37 | Volatility: 0.25
2024-04-28 20:51:38,694 [INFO ] 68 | Entry Type: Short | Entry Price: 63366.18 | Exit Price: 63451.17 | Entry Time: 2024-03-22 23:04:59.999000+02:00 | Exit Time: 2024-03-23 01:24:59.999000+02:00 | Profit/Loss (%): 0.34 | Volatility: 1.88
2024-04-28 20:51:38,695 [INFO ] 69 | Entry Type: Long | Entry Price: 63446.0 | Exit Price: 63866.0 | Entry Time: 2024-03-23 01:24:59.999000+02:00 | Exit Time: 2024-03-23 05:04:59.999000+02:00 | Profit/Loss (%): 0.91 | Volatility: 0.98
2024-04-28 20:51:38,696 [INFO ] 70 | Entry Type: Short | Entry Price: 63647.98 | Exit Price: 64084.01 | Entry Time: 2024-03-23 05:04:59.999000+02:00 | Exit Time: 2024-03-23 07:59:59.999000+02:00 | Profit/Loss (%): -0.35 | Volatility: 1.7
2024-04-28 20:51:38,697 [INFO ] 71 | Entry Type: Long | Entry Price: 64075.12 | Exit Price: 64436.56 | Entry Time: 2024-03-23 07:59:59.999000+02:00 | Exit Time: 2024-03-23 11:14:59.999000+02:00 | Profit/Loss (%): 0.53 | Volatility: 0.71
2024-04-28 20:51:38,698 [INFO ] 72 | Entry Type: Short | Entry Price: 64200.0 | Exit Price: 64750.0 | Entry Time: 2024-03-23 11:14:59.999000+02:00 | Exit Time: 2024-03-23 14:09:59.999000+02:00 | Profit/Loss (%): -0.31 | Volatility: 0.88
2024-04-28 20:51:38,699 [INFO ] 73 | Entry Type: Long | Entry Price: 64726.71 | Exit Price: 64535.1 | Entry Time: 2024-03-23 14:09:59.999000+02:00 | Exit Time: 2024-03-23 15:44:59.999000+02:00 | Profit/Loss (%): -0.15 | Volatility: 0.18
2024-04-28 20:51:38,700 [INFO ] 74 | Entry Type: Short | Entry Price: 64347.04 | Exit Price: 64663.72 | Entry Time: 2024-03-23 15:44:59.999000+02:00 | Exit Time: 2024-03-23 16:24:59.999000+02:00 | Profit/Loss (%): -0.08 | Volatility: 0.6
2024-04-28 20:51:38,701 [INFO ] 75 | Entry Type: Long | Entry Price: 64608.79 | Exit Price: 64872.01 | Entry Time: 2024-03-23 16:24:59.999000+02:00 | Exit Time: 2024-03-23 17:24:59.999000+02:00 | Profit/Loss (%): 0.45 | Volatility: 0.45
2024-04-28 20:51:38,702 [INFO ] 76 | Entry Type: Short | Entry Price: 64741.99 | Exit Price: 65500.0 | Entry Time: 2024-03-23 17:24:59.999000+02:00 | Exit Time: 2024-03-23 18:34:59.999000+02:00 | Profit/Loss (%): -0.59 | Volatility: 1.18
2024-04-28 20:51:38,703 [INFO ] 77 | Entry Type: Long | Entry Price: 65482.4 | Exit Price: 65480.0 | Entry Time: 2024-03-23 18:34:59.999000+02:00 | Exit Time: 2024-03-23 20:54:59.999000+02:00 | Profit/Loss (%): 0.25 | Volatility: 0.34
2024-04-28 20:51:38,704 [INFO ] 78 | Entry Type: Short | Entry Price: 65380.0 | Exit Price: 65037.06 | Entry Time: 2024-03-23 20:54:59.999000+02:00 | Exit Time: 2024-03-24 00:34:59.999000+02:00 | Profit/Loss (%): 0.7 | Volatility: 0.56
2024-04-28 20:51:38,705 [INFO ] 79 | Entry Type: Long | Entry Price: 65014.0 | Exit Price: 64810.0 | Entry Time: 2024-03-24 00:34:59.999000+02:00 | Exit Time: 2024-03-24 01:09:59.999000+02:00 | Profit/Loss (%): -0.3 | Volatility: 0.19
2024-04-28 20:51:38,706 [INFO ] 80 | Entry Type: Short | Entry Price: 64632.0 | Exit Price: 64379.62 | Entry Time: 2024-03-24 01:09:59.999000+02:00 | Exit Time: 2024-03-24 07:34:59.999000+02:00 | Profit/Loss (%): 0.74 | Volatility: 0.94
2024-04-28 20:51:38,707 [INFO ] 81 | Entry Type: Long | Entry Price: 64323.52 | Exit Price: 64142.0 | Entry Time: 2024-03-24 07:34:59.999000+02:00 | Exit Time: 2024-03-24 09:19:59.999000+02:00 | Profit/Loss (%): -0.23 | Volatility: 0.09
2024-04-28 20:51:38,708 [INFO ] 82 | Entry Type: Short | Entry Price: 64092.0 | Exit Price: 64583.44 | Entry Time: 2024-03-24 09:19:59.999000+02:00 | Exit Time: 2024-03-24 09:59:59.999000+02:00 | Profit/Loss (%): -0.28 | Volatility: 0.87
2024-04-28 20:51:38,709 [INFO ] 83 | Entry Type: Long | Entry Price: 64583.43 | Exit Price: 65042.01 | Entry Time: 2024-03-24 09:59:59.999000+02:00 | Exit Time: 2024-03-24 13:09:59.999000+02:00 | Profit/Loss (%): 1.12 | Volatility: 1.12
2024-04-28 20:51:38,710 [INFO ] 84 | Entry Type: Short | Entry Price: 64965.57 | Exit Price: 65349.56 | Entry Time: 2024-03-24 13:09:59.999000+02:00 | Exit Time: 2024-03-24 13:59:59.999000+02:00 | Profit/Loss (%): -0.35 | Volatility: 0.6
2024-04-28 20:51:38,712 [INFO ] 85 | Entry Type: Long | Entry Price: 65334.01 | Exit Price: 65608.0 | Entry Time: 2024-03-24 13:59:59.999000+02:00 | Exit Time: 2024-03-24 17:14:59.999000+02:00 | Profit/Loss (%): 0.46 | Volatility: 0.66
2024-04-28 20:51:38,713 [INFO ] 86 | Entry Type: Short | Entry Price: 65511.81 | Exit Price: 65770.0 | Entry Time: 2024-03-24 17:14:59.999000+02:00 | Exit Time: 2024-03-24 20:29:59.999000+02:00 | Profit/Loss (%): 0.0 | Volatility: 1.79
2024-04-28 20:51:38,714 [INFO ] 87 | Entry Type: Long | Entry Price: 65689.99 | Exit Price: 66950.01 | Entry Time: 2024-03-24 20:29:59.999000+02:00 | Exit Time: 2024-03-25 02:09:59.999000+02:00 | Profit/Loss (%): 2.11 | Volatility: 2.12
2024-04-28 20:51:38,715 [INFO ] 88 | Entry Type: Short | Entry Price: 66848.0 | Exit Price: 66839.8 | Entry Time: 2024-03-25 02:09:59.999000+02:00 | Exit Time: 2024-03-25 05:19:59.999000+02:00 | Profit/Loss (%): 0.23 | Volatility: 0.68
